# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
0             	(1.646348e-01 2.348576e-08 9.460289e-21)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.646348e-01 2.348576e-08 9.460289e-21)
