# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0             	(1.645676e-01 1.246017e-03 1.798987e-17)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.645676e-01 1.246017e-03 1.798987e-17)
0.005         	(4.799126e+00 -4.883329e-05 1.567596e-16)	(4.718759e+00 -7.767416e-05 -4.039909e-19)	(8.036715e-02 2.884087e-05 1.571635e-16)
0.01          	(-2.189644e+00 -2.916052e-04 1.669493e-16)	(-2.226733e+00 -2.906277e-04 4.658661e-19)	(3.708854e-02 -9.774925e-07 1.664834e-16)
0.015         	(-2.871988e-01 -1.349170e-04 2.081558e-16)	(-3.082256e-01 -1.304545e-04 -5.185550e-20)	(2.102677e-02 -4.462551e-06 2.082076e-16)
0.02          	(3.388156e-02 -5.311314e-07 1.827906e-16)	(1.665354e-02 3.383197e-06 2.132740e-21)	(1.722802e-02 -3.914328e-06 1.827885e-16)
0.025         	(1.212127e-01 -1.666359e-05 1.492233e-16)	(1.043107e-01 -1.240691e-05 4.381554e-21)	(1.690202e-02 -4.256681e-06 1.492190e-16)
0.03          	(6.001788e-03 -1.678375e-05 1.930859e-16)	(-9.569707e-03 -1.343789e-05 1.380105e-21)	(1.557150e-02 -3.345854e-06 1.930845e-16)
0.035         	(1.210426e-02 -1.208934e-05 1.460625e-16)	(-2.234856e-03 -9.483547e-06 1.651463e-21)	(1.433911e-02 -2.605794e-06 1.460609e-16)
0.04          	(1.954569e-02 -6.860685e-06 1.904765e-16)	(6.144023e-03 -4.882687e-06 9.720069e-22)	(1.340166e-02 -1.977998e-06 1.904756e-16)
0.045         	(2.194611e-02 -5.469914e-06 1.905111e-16)	(9.285934e-03 -3.670279e-06 -2.733659e-21)	(1.266018e-02 -1.799635e-06 1.905139e-16)
0.05          	(1.975885e-02 -6.068903e-06 1.663333e-16)	(7.751533e-03 -4.381099e-06 -3.074682e-21)	(1.200732e-02 -1.687804e-06 1.663364e-16)
0.055         	(1.881908e-02 -6.197729e-06 1.833603e-16)	(7.384901e-03 -4.647133e-06 2.486260e-21)	(1.143417e-02 -1.550596e-06 1.833578e-16)
0.06          	(1.825620e-02 -6.119670e-06 2.076958e-16)	(7.323997e-03 -4.743133e-06 4.823248e-21)	(1.093220e-02 -1.376537e-06 2.076910e-16)
0.065         	(1.771091e-02 -6.032727e-06 1.990455e-16)	(7.221597e-03 -4.844776e-06 2.219167e-22)	(1.048931e-02 -1.187952e-06 1.990452e-16)
0.07          	(1.712162e-02 -5.836751e-06 1.809889e-16)	(7.026904e-03 -4.816832e-06 -1.475028e-21)	(1.009472e-02 -1.019918e-06 1.809903e-16)
0.075         	(1.658366e-02 -5.792798e-06 1.749557e-16)	(6.842988e-03 -4.887576e-06 1.324343e-21)	(9.740676e-03 -9.052218e-07 1.749543e-16)
0.08          	(1.610255e-02 -5.689077e-06 1.780857e-16)	(6.681613e-03 -4.862499e-06 2.502781e-21)	(9.420934e-03 -8.265779e-07 1.780832e-16)
0.085         	(1.566451e-02 -5.224808e-06 1.914944e-16)	(6.534068e-03 -4.444914e-06 1.823691e-21)	(9.130445e-03 -7.798938e-07 1.914926e-16)
0.09          	(1.526107e-02 -4.743004e-06 2.253931e-16)	(6.395885e-03 -3.994955e-06 -5.197441e-21)	(8.865189e-03 -7.480491e-07 2.253983e-16)
0.095         	(1.488917e-02 -4.381721e-06 1.368005e-16)	(6.267199e-03 -3.679635e-06 4.636058e-21)	(8.621969e-03 -7.020858e-07 1.367958e-16)
0.1           	(1.454751e-02 -3.533830e-06 1.830924e-16)	(6.149631e-03 -2.886870e-06 -4.867318e-21)	(8.397875e-03 -6.469604e-07 1.830972e-16)
0.105         	(1.423164e-02 -3.435366e-06 -1.588251e-18)	(6.041178e-03 -2.841328e-06 6.840107e-21)	(8.190464e-03 -5.940384e-07 -1.595091e-18)
0.11          	(1.393969e-02 -3.380867e-06 2.317767e-16)	(5.941870e-03 -2.843100e-06 -4.220318e-21)	(7.997820e-03 -5.377674e-07 2.317809e-16)
0.115         	(1.366860e-02 -2.060435e-06 2.348648e-16)	(5.850289e-03 -1.574449e-06 1.496110e-21)	(7.818316e-03 -4.859856e-07 2.348633e-16)
0.12          	(1.341713e-02 -1.647506e-06 2.339040e-16)	(5.766630e-03 -1.203168e-06 -5.519567e-21)	(7.650495e-03 -4.443373e-07 2.339096e-16)
0.125         	(1.318128e-02 -1.581474e-06 2.227962e-16)	(5.688323e-03 -1.174363e-06 -1.436565e-21)	(7.492960e-03 -4.071111e-07 2.227976e-16)
0.13          	(1.295968e-02 -1.401559e-06 2.018445e-16)	(5.615447e-03 -1.030486e-06 6.958182e-21)	(7.344236e-03 -3.710731e-07 2.018375e-16)
0.135         	(1.275241e-02 -1.184929e-06 2.193908e-16)	(5.547566e-03 -8.364924e-07 3.058102e-22)	(7.204846e-03 -3.484366e-07 2.193905e-16)
0.14          	(1.255813e-02 -8.625990e-07 1.310090e-16)	(5.484737e-03 -5.395891e-07 3.905323e-22)	(7.073398e-03 -3.230098e-07 1.310086e-16)
0.145         	(1.237494e-02 -6.444542e-07 1.827010e-16)	(5.426635e-03 -3.421659e-07 7.048984e-22)	(6.948309e-03 -3.022883e-07 1.827003e-16)
0.15          	(1.220353e-02 -6.015412e-07 1.990004e-16)	(5.373217e-03 -3.260545e-07 -1.344205e-22)	(6.830309e-03 -2.754867e-07 1.990005e-16)
0.155         	(1.204166e-02 -4.323554e-07 1.715440e-16)	(5.324065e-03 -2.065793e-07 -2.084490e-21)	(6.717600e-03 -2.257760e-07 1.715461e-16)
0.16          	(1.189061e-02 -8.912802e-08 1.525085e-16)	(5.279292e-03 9.581142e-08 -3.264289e-21)	(6.611314e-03 -1.849394e-07 1.525118e-16)
0.165         	(1.174771e-02 1.274693e-07 1.877233e-16)	(5.237372e-03 2.999304e-07 1.855090e-21)	(6.510341e-03 -1.724611e-07 1.877214e-16)
0.17          	(1.161224e-02 7.224153e-08 -2.670349e-16)	(5.198337e-03 2.399324e-07 -9.293226e-22)	(6.413900e-03 -1.676909e-07 -2.670340e-16)
0.175         	(1.148188e-02 1.984569e-07 1.818602e-16)	(5.161365e-03 3.626718e-07 1.424196e-21)	(6.320513e-03 -1.642149e-07 1.818587e-16)
0.18          	(1.135862e-02 1.285480e-07 1.915373e-16)	(5.127428e-03 2.813482e-07 -6.015376e-22)	(6.231196e-03 -1.528002e-07 1.915379e-16)
0.185         	(1.124348e-02 1.752468e-07 2.280584e-16)	(5.097070e-03 3.331459e-07 9.357949e-23)	(6.146415e-03 -1.578991e-07 2.280583e-16)
0.19          	(1.113294e-02 2.373888e-07 1.920637e-16)	(5.068004e-03 4.114922e-07 -1.569835e-21)	(6.064937e-03 -1.741035e-07 1.920653e-16)
0.195         	(1.102831e-02 2.547456e-07 2.348213e-16)	(5.041489e-03 4.610551e-07 6.256509e-23)	(5.986819e-03 -2.063095e-07 2.348213e-16)
0.2           	(1.092892e-02 2.101539e-07 1.869971e-16)	(5.017110e-03 4.149856e-07 4.817190e-22)	(5.911806e-03 -2.048317e-07 1.869966e-16)
0.205         	(1.083299e-02 2.619963e-07 2.007518e-16)	(4.994005e-03 4.569967e-07 8.612266e-24)	(5.838983e-03 -1.950004e-07 2.007518e-16)
0.21          	(1.074060e-02 3.117662e-07 1.664430e-16)	(4.972623e-03 5.163979e-07 3.853425e-22)	(5.767973e-03 -2.046317e-07 1.664426e-16)
0.215         	(1.065182e-02 2.752351e-07 -9.539621e-17)	(4.952762e-03 4.848072e-07 9.205224e-23)	(5.699056e-03 -2.095721e-07 -9.539631e-17)
0.22          	(1.056868e-02 1.554170e-07 2.335786e-16)	(4.935502e-03 3.570349e-07 1.086728e-21)	(5.633182e-03 -2.016179e-07 2.335775e-16)
