parameter errorU errorP errorE errorNut
1 0.001312708749 0.002060225556 0.0002861522111 0.02756218485
2 0.001466305102 0.001846636192 0.0002930120592 0.04017098555
3 0.001546780546 0.002048430717 0.0002376100802 0.02144835201
4 0.001569226341 0.002042766599 0.0002428006206 0.02126640021
5 0.00123397069 0.001923014977 0.0003103728897 0.03221767335
6 0.001378155128 0.001916643931 0.0002752479017 0.02859250916
7 0.001354339194 0.002049035894 0.0002548785585 0.02102669755
8 0.001310230455 0.001958605283 0.0002763183919 0.02085847162
9 0.001332927971 0.001929720322 0.0002780175921 0.02366847478
10 0.001264420815 0.001934646392 0.0002968838337 0.03114745475
11 0.001383772098 0.001950971926 0.0002666832045 0.02540508801
12 0.001594245994 0.002084875155 0.0002341489257 0.02533237227
13 0.00154661068 0.002030920407 0.0002464877015 0.02002379747
14 0.001374522302 0.002072403409 0.0002485165169 0.02057707295
15 0.001325644871 0.002082525583 0.0002866078678 0.02987753371
16 0.001304609733 0.002094560017 0.0002921773527 0.04780842036
17 0.001531236266 0.001922803747 0.000269752064 0.03421980027
18 0.001281078383 0.001971567835 0.0002834189278 0.02335412462
19 0.001546313126 0.001997153465 0.0002705040651 0.02568000289
20 0.001666958913 0.001979054229 0.0002555640414 0.03094442118
