parameter errorU errorP errorE errorNut
1 0.002240038845 0.009010891136 0.0005854925259 0.02315174933
2 0.002227895052 0.009018007399 0.0005998815044 0.0338146605
3 0.002240424635 0.009019512199 0.0006110910851 0.03868941628
4 0.00224526931 0.009022725662 0.0006022003419 0.03707334845
5 0.002240571874 0.009019466599 0.0006111089548 0.03884881034
6 0.00223875672 0.009019812385 0.0006016178336 0.03598720866
7 0.002236790806 0.009018380005 0.0006096609679 0.03832056454
8 0.002238450844 0.009019802232 0.0006015786396 0.03592105041
9 0.002241083448 0.009019519556 0.0006113324814 0.03872064748
10 0.002233624147 0.009018451058 0.0006002528131 0.03513847105
11 0.002240563635 0.009019677223 0.0006118721973 0.03889909617
12 0.0022332937 0.009019036997 0.000600086602 0.03505117753
13 0.002246059324 0.009023747752 0.0006127487081 0.03987769505
14 0.002234180149 0.009017913911 0.0006005371885 0.03534547528
15 0.002245765836 0.009023500589 0.000612696804 0.0398029807
16 0.002246026336 0.009024429917 0.0006026310392 0.03790856012
17 0.00224047653 0.009019652283 0.0006118364284 0.03895882027
18 0.002234409835 0.00901788384 0.0006006291078 0.03539429251
19 0.00223715119 0.009017774907 0.0006100522678 0.03836843659
20 0.002244554756 0.009023423211 0.000602437934 0.03741366766
